ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
74013954,1753269974,1753269974643,1753269974,1753269974775,0,1,0,1,4,1000,74011917,0,4,0.03,0.0,3425.48,0.0,0.0,3425.48,0.0,XAUUSD,[sl 3425.48],rXdlxo6ZquFp93nuFieb5C
74013992,1753269982,1753269982952,1753269983,1753269983069,0,0,0,1,4,1000,74013992,0,3,0.03,0.0,0.0,3421.51,3428.51,3425.51,0.0,XAUUSD,Robo XAUUSD,rkelxogaquFpiGc5C
74016504,1753271067,1753271067613,1753271067,1753271067753,0,1,0,1,4,1000,74013992,0,4,0.03,0.0,3425.51,0.0,0.0,3425.51,0.0,XAUUSD,[sl 3425.51],rj6mxoYIsuFpgaquFiOF6C
74028756,1753275711,1753275711137,1753275711,1753275711246,0,1,0,1,4,1000,74028756,0,3,0.03,0.0,0.0,3433.92,3426.92,3429.92,0.0,XAUUSD,Robo XAUUSD,rSVyxolgvuFpiZ-8C
74030631,1753276118,1753276118099,1753276118,1753276118244,0,0,0,1,4,1000,74028756,0,5,0.03,0.0,3426.92,0.0,0.0,3426.92,0.0,XAUUSD,[tp 3426.92],rMlzxo3DwuFplgvuFi7b9C
74043299,1753280586,1753280586358,1753280586,1753280586496,0,0,0,1,4,1000,74043299,0,3,0.03,0.0,0.0,3419.53,3426.53,3423.52,0.0,XAUUSD,Robo XAUUSD,rWT-xo_jzuFpidlAD
74044149,1753280856,1753280856643,1753280856,1753280856780,0,1,0,1,4,1000,74043299,0,4,0.03,0.0,3423.53,0.0,0.0,3423.53,0.0,XAUUSD,[sl 3423.53],rNA_xoJ1zuFp_jzuFid1AD
74180491,1753307050,1753307050322,1753307050,1753307050458,0,1,0,1,4,1000,74180491,0,3,0.03,0.0,0.0,3397.38,3390.38,3393.39,0.0,XAUUSD,Robo XAUUSD,rq_bzoftZvFpiQQkD
74184664,1753310083,1753310083301,1753310083,1753310083448,0,0,0,1,4,1000,74180491,0,5,0.03,0.0,3390.38,0.0,0.0,3390.38,0.0,XAUUSD,[tp 3390.38],r0hfzoE3avFpftZvFiGVlD
74212872,1753329783,1753329783523,1753329783,1753329783647,0,1,0,1,4,1000,74212872,0,3,0.03,0.0,0.0,3394.18,3387.18,3390.11,0.0,XAUUSD,Robo XAUUSD,rbV4zoMtjvFpizHvD
